ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13128297,JG326425,07/03/2023 06:38:00 PM,024XX S HAMLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1013.0,10.0,22.0,30.0,08B,1151427.0,1887505.0,2023.0,08/19/2023 03:40:26 PM,41.847194452,-87.719755655,"(41.847194452, -87.719755655)"
12829218,JF398544,09/16/2022 03:00:00 AM,007XX E 80TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,631.0,6.0,8.0,44.0,07,1182706.0,1852127.0,2022.0,01/03/2023 03:40:27 PM,41.749443657,-87.606061317,"(41.749443657, -87.606061317)"
13721084,JH554013,12/24/2024 10:27:00 AM,004XX S CLARK ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN / LIQUOR STORE,True,False,122.0,1.0,34.0,32.0,22,1175595.0,1898337.0,2024.0,11/02/2025 03:41:09 PM,41.876410116,-87.630734288,"(41.876410116, -87.630734288)"
13532983,JH351168,07/17/2024 05:32:00 PM,086XX S SANGAMON ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,False,False,613.0,6.0,21.0,71.0,04B,1171497.0,1847226.0,2024.0,05/17/2025 03:40:52 PM,41.736247305,-87.647278649,"(41.736247305, -87.647278649)"
13961041,JJ407412,09/08/2025 06:00:00 PM,010XX W ARDMORE AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",STREET,False,False,2022.0,20.0,48.0,77.0,07,1168293.0,1938703.0,2025.0,03/14/2026 03:41:39 PM,41.987337309,-87.6563744,"(41.987337309, -87.6563744)"
14179756,JK233266,04/27/2026 12:30:00 PM,034XX S DR MARTIN LUTHER KING JR DR,1330,CRIMINAL TRESPASS,TO LAND,MEDICAL / DENTAL OFFICE,False,False,211.0,2.0,4.0,35.0,26,1179477.0,1882111.0,2026.0,05/05/2026 03:43:37 PM,41.83179686,-87.616978074,"(41.83179686, -87.616978074)"
13776316,JJ182740,03/15/2025 05:50:00 PM,034XX N SOUTHPORT AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA STATION,True,False,1924.0,19.0,44.0,6.0,04A,1166363.0,1922825.0,2025.0,03/14/2026 03:41:39 PM,41.943809131,-87.663929245,"(41.943809131, -87.663929245)"
14017901,JJ475841,11/01/2025 12:00:00 PM,085XX S SOUTH CHICAGO AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,412.0,4.0,8.0,46.0,07,1193065.0,1848416.0,2025.0,03/14/2026 03:41:39 PM,41.73901381,-87.568223286,"(41.73901381, -87.568223286)"
13951775,JJ395893,08/30/2025 10:51:00 PM,065XX S WOLCOTT AVE,041A,BATTERY,AGGRAVATED - HANDGUN,RESIDENCE,False,False,726.0,7.0,16.0,67.0,04B,1164813.0,1861210.0,2025.0,03/14/2026 03:41:39 PM,41.774764989,-87.671372364,"(41.774764989, -87.671372364)"
12796932,JF360043,08/17/2022 11:37:00 AM,012XX S ASHLAND AVE,0560,ASSAULT,SIMPLE,BANK,False,False,1233.0,12.0,28.0,28.0,08A,1165916.0,1894587.0,2022.0,01/03/2023 03:40:27 PM,41.866331725,-87.666379171,"(41.866331725, -87.666379171)"
13866566,JJ292724,06/13/2025 12:00:00 AM,078XX S ADA ST,0810,THEFT,OVER $500,OTHER (SPECIFY),False,False,612.0,6.0,17.0,71.0,06,1168803.0,1852709.0,2025.0,03/14/2026 03:41:39 PM,41.751351929,-87.656990648,"(41.751351929, -87.656990648)"
